# Interactor 1 uniprot id	Interactor 1 Ensembl gene id	Interactor 1 Entrez Gene id	Interactor 2 uniprot id	Interactor 2 Ensembl gene id	Interactor 2 Entrez Gene id	Interaction type	Interaction context	Pubmed references
uniprotkb:O43791	ENSEMBL:ENSG00000121067	EntrezGene:8405	uniprotkb:Q6IQ16	ENSEMBL:ENSG00000144228	EntrezGene:339745	complex	R-HSA-5635068	-
uniprotkb:P43351	ENSEMBL:ENSG00000002016	EntrezGene:5893	uniprotkb:P63165	ENSEMBL:ENSG00000116030	EntrezGene:7341	complex	R-HSA-4568880	20190268
reactome:R-HSA-70408	-	-	ChEBI:17925	-	-	reaction	R-HSA-8981564	8457197
reactome:R-HSA-192592	-	-	uniprotkb:O43559	ENSEMBL:ENSG00000137218	EntrezGene:10817	complex	R-HSA-5654284	-
uniprotkb:P54840	ENSEMBL:ENSG00000111713	EntrezGene:2998	reactome:R-HSA-3321999	-	-	reaction	R-HSA-3322009	9691087|22248338
reactome:R-HSA-68520	-	-	uniprotkb:Q13415	ENSEMBL:ENSG00000085840	EntrezGene:4998	complex	R-HSA-68592	11046155|11395502|11323433
uniprotkb:P62993-1	ENSEMBL:ENSG00000177885	EntrezGene:2885	uniprotkb:Q9UQC2	ENSEMBL:ENSG00000033327	EntrezGene:9846	complex	R-HSA-912528	15050920
reactome:R-HSA-5682767	-	-	uniprotkb:O75078	ENSEMBL:ENSG00000073670	EntrezGene:4185	complex	R-HSA-5682792	-
reactome:R-HSA-8857546	-	-	reactome:R-HSA-8857546	-	-	reaction	R-HSA-8857555	26751287
uniprotkb:P45974	ENSEMBL:ENSG00000111667	EntrezGene:8078	uniprotkb:P0CG47	ENSEMBL:ENSG00000170315	EntrezGene:7314	reaction	R-HSA-8853529	26235645|7851534
uniprotkb:P10070	ENSEMBL:ENSG00000074047	EntrezGene:2736	uniprotkb:Q9UMX1	ENSEMBL:ENSG00000107882	EntrezGene:51684	reaction	R-HSA-5610723	20956384|19622347|20360384|14611647|9601642|16155214|19684112|19533801|10433824|16459298|10564661|12068298|12426310|11960000|19371734|16061793|24854174
ChEBI:64294	-	-	uniprotkb:P04114	ENSEMBL:ENSG00000084674	EntrezGene:338	complex	R-HSA-2247480	20013192|20470747
uniprotkb:Q96D31	-	-	uniprotkb:Q96D31	-	-	complex	R-HSA-434696	-
uniprotkb:P28332	ENSEMBL:ENSG00000172955	EntrezGene:130	ChEBI:29105	-	-	complex	R-HSA-71748	-
reactome:R-HSA-109797	-	-	reactome:R-HSA-186805	-	-	complex	R-HSA-186827	-
uniprotkb:P01583	ENSEMBL:ENSG00000115008	EntrezGene:3552	uniprotkb:P27930	ENSEMBL:ENSG00000115590	EntrezGene:7850	complex	R-HSA-446125	-
uniprotkb:Q13950-1	ENSEMBL:ENSG00000124813	EntrezGene:860	uniprotkb:P10071	ENSEMBL:ENSG00000106571	EntrezGene:2737	complex	R-HSA-9008227	-
reactome:R-HSA-5218762	-	-	uniprotkb:P46108	ENSEMBL:ENSG00000167193	EntrezGene:1398	complex	R-HSA-5218765	-
uniprotkb:P43088	ENSEMBL:ENSG00000122420	EntrezGene:5737	ChEBI:15553	-	-	complex	R-HSA-391931	-
reactome:R-HSA-1225828	-	-	reactome:R-HSA-1221657	-	-	complex	R-HSA-1809170	-
reactome:R-HSA-217289	-	-	reactome:R-HSA-3928548	-	-	complex	R-HSA-3928523	-
reactome:R-HSA-8938482	-	-	uniprotkb:Q9HCE1	ENSEMBL:ENSG00000155363	EntrezGene:4343	complex	R-HSA-8938486	17589498|17589498|17589498|17589498|17589498|17589498|17589498|17589498|17589498
uniprotkb:P18085	ENSEMBL:ENSG00000168374	EntrezGene:378	reactome:R-HSA-5623434	-	-	reaction	R-HSA-5623513	19153612|23567335|18685082
